congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
112,Senate,14922,WV,100,0,1 ,"ROCKEFELLER, John Davison IV (Jay)",R000361,-0.326,0.177,-48.84087,0.879,380,21,-0.377,-0.036
112,Senate,40915,WV,100,3,2 ,"MANCHIN, Joe, III",M001183,-0.057,0.47,-141.53091,0.70628,407,64,-0.075,0.454
112,Senate,15703,WI,100,0,1 ,"KOHL, Herbert H.",K000305,-0.256,-0.406,-63.35858,0.852,396,27,-0.242,-0.246
112,Senate,41111,WI,200,0,1 ,"JOHNSON, Ron",J000293,0.602,-0.313,-71.25046,0.84012,409,33,0.645,-0.229
112,Senate,40707,WY,200,0,1 ,"BARRASSO, John A.",B001261,0.533,0.23,-83.42444,0.81175,400,30,0.49,0.242
112,Senate,49706,WY,200,0,1 ,"ENZI, Michael B.",E000285,0.54,0.182,-76.1584,0.82624,399,31,0.502,0.271
113,Senate,49700,AL,200,0,1 ,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,0.549,0.13,-101.80298,0.82789,539,45,0.619,0.082
113,Senate,94659,AL,200,0,1 ,"SHELBY, Richard C.",S000320,0.431,0.535,-110.28776,0.8168,545,55,0.515,0.602
113,Senate,40300,AK,200,0,1 ,"MURKOWSKI, Lisa",M001153,0.207,-0.288,-155.29936,0.7401,516,80,0.124,-0.411
113,Senate,40900,AK,100,0,1 ,"BEGICH, Mark",B001265,-0.235,0.15,-48.13809,0.91,512,21,-0.241,0.348
113,Senate,15039,AZ,200,0,1 ,"McCAIN, John Sidney, III",M000303,0.381,-0.626,-132.74405,0.77659,525,67,0.412,-0.579
113,Senate,20100,AZ,200,0,1 ,"FLAKE, Jeff",F000444,0.855,-0.518,-259.88598,0.61522,535,131,0.476,-0.731
113,Senate,20101,AR,200,0,1 ,"BOOZMAN, John",B001236,0.401,0.248,-85.88975,0.84245,501,30,0.429,0.457
113,Senate,40301,AR,100,0,1 ,"PRYOR, Mark",P000590,-0.199,0.463,-64.2729,0.885,528,26,-0.16,0.491
113,Senate,15011,CA,100,0,1 ,"BOXER, Barbara",B000711,-0.45,-0.423,-19.24984,0.963,512,8,-0.537,-0.097
113,Senate,49300,CA,100,0,1 ,"FEINSTEIN, Dianne",F000062,-0.269,-0.21,-22.72246,0.95748,523,8,-0.346,-0.278
113,Senate,29906,CO,100,0,1 ,"UDALL, Mark",U000038,-0.353,0.049,-35.83642,0.933,519,11,-0.248,-0.069
113,Senate,40910,CO,100,0,1 ,"BENNET, Michael F.",B001267,-0.207,-0.122,-29.05093,0.94837,548,9,-0.246,-0.081
113,Senate,20707,CT,100,0,1 ,"MURPHY, Christopher",M001169,-0.306,-0.178,-28.32169,0.94963,548,12,-0.499,-0.248
113,Senate,41101,CT,100,0,1 ,"BLUMENTHAL, Richard",B001277,-0.424,-0.097,-18.71258,0.96661,551,7,-0.512,-0.332
113,Senate,15015,DE,100,0,1 ,"CARPER, Thomas Richard",C000174,-0.174,-0.219,-55.08475,0.90486,551,12,-0.254,-0.172
113,Senate,40916,DE,100,0,1 ,"COONS, Christopher A.",C001088,-0.243,-0.209,-25.16312,0.95455,541,10,-0.308,0.043
113,Senate,14651,FL,100,0,1 ,"NELSON, Clarence William (Bill)",N000032,-0.193,0.339,-47.91577,0.91448,536,19,-0.276,-0.079
113,Senate,41102,FL,200,0,1 ,"RUBIO, Marco",R000595,0.576,-0.302,-140.99687,0.76408,524,67,0.663,-0.681
113,Senate,29512,GA,200,0,1 ,"CHAMBLISS, Saxby",C000286,0.423,0.205,-135.34325,0.753,478,64,0.343,0.17
113,Senate,29909,GA,200,0,1 ,"ISAKSON, Johnny",I000055,0.403,-0.014,-127.83957,0.78496,528,61,0.321,0.19
113,Senate,20713,HI,100,0,1 ,"HIRONO, Mazie",H001042,-0.485,-0.089,-16.03008,0.97133,551,8,-0.507,0.056
113,Senate,41112,HI,100,0,5 ,"SCHATZ, Brian Emanuel",S001194,-0.417,-0.112,-9.90418,0.98073,509,2,-0.478,-0.025
113,Senate,29345,ID,200,0,1 ,"CRAPO, Michael Dean",C000880,0.509,0.282,-103.79852,0.82716,547,45,0.661,0.431
